Servidor;IPs;Funcao
Agua Branca;192.168.0.1;Administrador
Alvorada;192.168.0.2;Advogado
Areal;192.168.0.3;Agrônomo
Asfalto Velho;192.168.0.4;Analista de Sistemas
Aterrado;192.168.0.5;Arquiteto
Bacaxa;192.168.0.6;Arquivista
Barra Nova;192.168.0.7;Assistente Social
Barreira;192.168.0.8;Astrônomo
Basilea;192.168.0.9;Atendente de Telemarketing
Bicuiba;192.168.0.10;Auditor
Bonsucesso;192.168.0.11;Auxiliar de Logística
Boqueirao;192.168.0.12;Biblioteconomista
Caixa dagua;192.168.0.13;Biólogo
Centro;192.168.0.14;Biomédico
Condado de Bacaxa;192.168.0.15;Bombeiro
Coqueiral;192.168.0.16;Cabeleireiro
De Fatima;192.168.0.17;Cientista de Dados
Engenho Grande;192.168.0.18;Comissário de Bordo
Gravata;192.168.0.19;Contador
Guarani;192.168.0.20;Cozinheiro
Ipitangas;192.168.0.21;Dentista
Itauna;192.168.0.22;Designer Gráfico
Jacone;192.168.0.23;Economista
Jardim;192.168.0.24;Eletricista
Jardim Ipitangas;192.168.0.25;Enfermeiro
Leigos;192.168.0.26;Engenheiro Civil
Madressilva;192.168.0.27;Engenheiro de Produção
Massambaba;192.168.0.28;Engenheiro de Software
Mombaca;192.168.0.29;Estatístico
Morro da Cruz;192.168.0.30;Farmacêutico
Morro dos Pregos;192.168.0.31;Fisioterapeuta
Palmital;192.168.0.32;Fotógrafo
Parque Marina;192.168.0.33;Frentista
Porto da Roça I;192.168.0.34;Geógrafo
Porto da Roça II;192.168.0.35;Gestor de E-commerce
Porto Novo;192.168.0.36;Historiador
Raia;192.168.0.37;Jornalista
Retiro;192.168.0.38;Juiz
Rio dareia;192.168.0.39;Marketing Profissional
Rio Mole;192.168.0.40;Mecânico
Rio Seco;192.168.0.41;Médico
Sampaio Correia;192.168.0.42;Nutricionista
São Geraldo;192.168.0.43;Pedagogo
Serra de Mato Grosso;192.168.0.44;Piloto de Aeronaves
Tingui;192.168.0.45;Psicólogo
Verde Vale;192.168.0.46;Publicitário
Vilatur;192.168.0.47;Técnico de Enfermagem
